COV_REG,a,b,c,ab,ac,bc,abc
1,0.7118959107806692,0.0,0.0,0.0,0.0,0.0,0.0
1,0.792468619246862,0.0,0.0033472803347280333,0.0,0.0026526146250940986,0.0,0.0
1,0.8015267175572519,0.0,0.003816793893129771,0.0,0.00305926228075287,0.0,0.0
1,0.8120617110799438,0.0,0.012622720897615708,0.0,0.010250428330602376,0.0,0.0
1,0.830110497237569,0.004143646408839779,0.008287292817679558,0.003439684380818656,0.006879368761637312,3.433961112298159e-05,2.8505671664243005e-05
1,0.8536585365853658,0.018292682926829267,0.0508130081300813,0.01561570493753718,0.0433769581598255,0.0009295062462819749,0.0007934809419480273
1,0.8744588744588745,0.12121212121212122,0.03896103896103896,0.10599501508592418,0.03406982627761849,0.004722550177095631,0.004129675912438604
1,0.7352941176470589,0.20588235294117646,0.029411764705882353,0.15138408304498271,0.021626297577854673,0.006055363321799308,0.004452473030734786
1,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
1,0.8832046332046332,0.0,0.003861003861003861,0.0,0.0034100564988595876,0.0,0.0
1,0.8768115942028986,0.0,0.002898550724637681,0.0,0.002541482881747532,0.0,0.0
1,0.883453237410072,0.0,0.007194244604316547,0.0,0.006355778686403396,0.0,0.0
1,0.9175412293853074,0.005997001499250375,0.01649175412293853,0.00550249612824772,0.015131864352681232,9.890107420053093e-05,9.074581320948264e-05
1,0.8883720930232558,0.027906976744186046,0.03953488372093023,0.024791779340183884,0.03512168739859384,0.0011032990805840996,0.0009801401134491303
1,0.8245614035087719,0.04824561403508772,0.017543859649122806,0.03978147122191443,0.014465989535241612,0.0008464142813173284,0.0006979205477528847
1,0.856655290102389,0.17064846416382254,0.010238907849829351,0.14618690957378655,0.008771214574427191,0.0017472538992882854,0.0014967942959773367
2,0.7044523998370812,0.0,0.0002786769276940556,0.0,0.0001963146304933022,0.0,0.0
2,0.8582541325554406,0.0,0.001536965590790753,0.0,0.001319107069891678,0.0,0.0
2,0.8649893819961847,0.0,0.004175215059568801,0.0,0.0036115166940775805,0.0,0.0
2,0.8728510155613058,0.0,0.008011059515791712,0.0,0.006992461434080859,0.0,0.0
2,0.8707343922000315,0.005189495203648372,0.02244849819153955,0.004518671951973744,0.019546679428613694,0.00011649637369410365,0.00010143739914204308
2,0.8376162506118453,0.028022515907978465,0.04368575624082232,0.02347211470755171,0.036591899347580614,0.001224184799210513,0.0010253970815707245
